Year,Quarter,Month,Day,stand_allocc,stand_allocc_TDC,stand_FI,stand_LSM,stand_SCIO,stand_SLA,stand_SPA,stand_TDC,unique_postings_allocc,unique_postings_allocc_TDC,unique_postings_FI,unique_postings_LSM,unique_postings_SCIO,unique_postings_SLA,unique_postings_SPA,unique_postings_TDC
2019,Qtr 1,January,31,117.11,117.11,114.92,116.43,105.43,105.02,109.86,104.06,2035114,2035114,4797,753,3384,2414,11348,6460
2019,Qtr 1,February,28,114.32,114.32,105.08,111.79,100.78,108.24,104.87,103.79,1986645,1986645,4386,723,3235,2488,10832,6443
2019,Qtr 1,March,31,114.85,114.85,119.64,113.65,105.43,117.51,114.37,107.77,1995804,1995804,4994,735,3384,2701,11814,6690
2019,Qtr 2,April,30,107.73,107.73,110.95,112.72,102.5,111.42,108.54,96.59,1872115,1872115,4631,729,3290,2561,11211,5996
2019,Qtr 2,May,31,101.01,101.01,110.97,111.02,103.77,111.24,108.8,98.73,1755404,1755404,4632,718,3331,2557,11238,6129
2019,Qtr 2,June,30,97.23,97.23,108,104.68,99.38,103.41,104.09,104.13,1689637,1689637,4508,677,3190,2377,10752,6464
2019,Qtr 3,July,31,102.73,102.73,107.38,106.38,111.81,108.81,109.01,117,1785339,1785339,4482,688,3589,2501,11260,7263
2019,Qtr 3,August,31,109.62,109.62,102.75,110.86,114.62,111.07,108.8,131.64,1904947,1904947,4289,717,3679,2553,11238,8172
2019,Qtr 3,September,30,84.62,84.62,83.11,79.63,93.49,85.53,86.66,96.44,1470623,1470623,3469,515,3001,1966,8951,5987
2019,Qtr 4,October,31,84.28,84.28,82.2,80.71,89.07,82.96,84.41,89.92,1464657,1464657,3431,522,2859,1907,8719,5582
2019,Qtr 4,November,30,87.63,87.63,80.35,82.57,90.29,81.7,83.88,80.32,1522918,1522918,3354,534,2898,1878,8664,4986
2019,Qtr 4,December,31,78.87,78.87,74.65,69.58,83.43,73.09,76.71,69.64,1370543,1370543,3116,450,2678,1680,7924,4323
2020,Qtr 1,January,31,84.64,84.64,74.63,80.25,81.72,78.05,77.94,69.14,1470824,1470824,3115,519,2623,1794,8051,4292
2020,Qtr 1,February,29,88.88,88.88,80.21,83.49,85.21,84.44,82.91,69.14,1544528,1544528,3348,540,2735,1941,8564,4292
2020,Qtr 1,March,31,89.68,89.68,90.2,74.68,83.24,74.61,83.6,71.38,1558454,1558454,3765,483,2672,1715,8635,4431
2020,Qtr 2,April,30,62.49,62.49,66.03,45.15,52.18,34.41,53.38,33.96,1085926,1085926,2756,292,1675,791,5514,2108
2020,Qtr 2,May,31,51.75,51.75,55.15,28.76,42.81,16.66,41.1,24.4,899322,899322,2302,186,1374,383,4245,1515
2020,Qtr 2,June,30,52.53,52.53,54.14,29.69,43.12,25.45,42.8,17.65,912809,912809,2260,192,1384,585,4421,1096
2020,Qtr 3,July,31,59.93,59.93,70.43,37.57,50.78,31.02,53.5,23.66,1041464,1041464,2940,243,1630,713,5526,1469
2020,Qtr 3,August,31,68.06,68.06,61.45,50.1,56.89,36.81,53.84,31.65,1182814,1182814,2565,324,1826,846,5561,1965
2020,Qtr 3,September,30,81.22,81.22,85.62,65.25,67.08,34.8,67.27,48.55,1411406,1411406,3574,422,2153,800,6949,3014
2020,Qtr 4,October,31,99.35,99.35,88.88,68.19,82.56,44.72,75.79,55.22,1726568,1726568,3710,441,2650,1028,7829,3428
2020,Qtr 4,November,30,90.8,90.8,93.46,54.43,78.88,30.11,72.39,42.35,1577892,1577892,3901,352,2532,692,7477,2629
2020,Qtr 4,December,31,90.63,90.63,92.07,61.54,93.12,32.76,77.29,45.81,1574989,1574989,3843,398,2989,753,7983,2844
2021,Qtr 1,January,31,89.31,89.31,85.19,57.36,87.2,31.72,72.17,41.85,1552023,1552023,3556,371,2799,729,7455,2598
2021,Qtr 1,February,28,92.67,92.67,74,58.6,84.46,35.24,67.66,46.57,1610488,1610488,3089,379,2711,810,6989,2891
2021,Qtr 1,March,31,106.24,106.24,66.6,60.92,92.59,45.9,69.71,54.75,1846299,1846299,2780,394,2972,1055,7201,3399
2021,Qtr 2,April,30,118.51,118.51,75.71,64.63,110.25,62.17,82.74,69.91,2059510,2059510,3160,418,3539,1429,8546,4340
2021,Qtr 2,May,31,125.22,125.22,82.51,68.65,122.41,85.27,94.65,84.46,2176063,2176063,3444,444,3929,1960,9777,5243
2021,Qtr 2,June,30,134.97,134.97,86.53,81.64,139.29,107.07,107.19,97.46,2345458,2345458,3612,528,4471,2461,11072,6050
2021,Qtr 3,July,31,144.71,144.71,102.32,103.44,156.55,117.03,122.52,109.18,2514788,2514788,4271,669,5025,2690,12655,6778
2021,Qtr 3,August,31,155.71,155.71,95.25,118.9,164.18,139.35,127.97,118.46,2705942,2705942,3976,769,5270,3203,13218,7354
2021,Qtr 3,September,30,162.85,162.85,114.76,133.28,176.05,156.1,144.16,135.26,2830099,2830099,4790,862,5651,3588,14891,8397
2021,Qtr 4,October,31,170.24,170.24,115.57,125.24,185.06,169.71,149.82,149.41,2958486,2958486,4824,810,5940,3901,15475,9275
2021,Qtr 4,November,30,187.18,187.18,111.9,134.67,198.23,164.88,151.95,152.24,3252787,3252787,4671,871,6363,3790,15695,9451
2021,Qtr 4,December,31,161.29,161.29,80.47,97.56,164.34,134.13,119.54,117.96,2802857,2802857,3359,631,5275,3083,12348,7323
2022,Qtr 1,January,31,142.48,142.48,103.81,76.54,142.28,124.51,118.66,106.57,2475964,2475964,4333,495,4567,2862,12257,6616
2022,Qtr 1,February,28,148.03,148.03,158.98,87.05,143.96,158.84,149.78,123.02,2572501,2572501,6636,563,4621,3651,15471,7637
2022,Qtr 1,March,31,171.03,171.03,162.17,102.05,166.33,182.03,164.12,140.4,2972251,2972251,6769,660,5339,4184,16952,8716
2022,Qtr 2,April,30,169.37,169.37,151,105.14,159.48,183.42,157.98,137.12,2943304,2943304,6303,680,5119,4216,16318,8512
2022,Qtr 2,May,31,167.23,167.23,133.68,114.26,158.33,187.59,152.12,125.81,2906183,2906183,5580,739,5082,4312,15713,7810
2022,Qtr 2,June,30,163.75,163.75,121.25,106.22,151.97,182.16,143.41,118.78,2845720,2845720,5061,687,4878,4187,14813,7374
2022,Qtr 3,July,31,165.72,165.72,126.42,98.8,171.38,176.5,149.81,123.73,2879913,2879913,5277,639,5501,4057,15474,7681
2022,Qtr 3,August,31,151.2,151.2,106.01,85.2,151.25,158.18,130.38,120.65,2627607,2627607,4425,551,4855,3636,13467,7490
2022,Qtr 3,September,30,153.42,153.42,120.91,88.44,151.81,154.57,135.97,114.27,2666179,2666179,5047,572,4873,3553,14045,7094
2022,Qtr 4,October,31,154.23,154.23,90.92,91.07,141.47,140.65,117.7,98.1,2680293,2680293,3795,589,4541,3233,12158,6090
2022,Qtr 4,November,30,158.35,158.35,92.52,94.47,154.59,135.39,121.47,99.68,2751858,2751858,3862,611,4962,3112,12547,6188
2022,Qtr 4,December,31,150.14,150.14,94.61,81.02,162.38,131.08,122.93,100.92,2609199,2609199,3949,524,5212,3013,12698,6265
